PassengerId,Survived,Pclass,Sex,fare,SibSp,Parch
447,1,2,female,19.5,0,1
448,1,1,male,26.55,0,0
449,1,3,female,19.2583,2,1
450,1,1,male,30.5,0,0
451,0,2,male,27.75,1,2
452,0,3,male,19.9667,1,0
453,0,1,male,27.75,0,0
454,1,1,male,89.1042,1,0
455,0,3,male,8.05,0,0
456,1,3,male,7.8958,0,0
457,0,1,male,26.55,0,0
458,1,1,female,51.8625,1,0
459,1,2,female,10.5,0,0
460,0,3,male,7.75,0,0
461,1,1,male,26.55,0,0
462,0,3,male,8.05,0,0
463,0,1,male,38.5,0,0
464,0,2,male,13,0,0
465,0,3,male,8.05,0,0
466,0,3,male,7.05,0,0
467,0,2,male,0,0,0
468,0,1,male,26.55,0,0
469,0,3,male,7.725,0,0
470,1,3,female,19.2583,2,1
471,0,3,male,7.25,0,0
472,0,3,male,8.6625,0,0
473,1,2,female,27.75,1,2
474,1,2,female,13.7917,0,0
475,0,3,female,9.8375,0,0
476,0,1,male,52,0,0
477,0,2,male,21,1,0
478,0,3,male,7.0458,1,0
479,0,3,male,7.5208,0,0
480,1,3,female,12.2875,0,1
481,0,3,male,46.9,5,2
482,0,2,male,0,0,0
483,0,3,male,8.05,0,0
484,1,3,female,9.5875,0,0
485,1,1,male,91.0792,1,0
486,0,3,female,25.4667,3,1
487,1,1,female,90,1,0
488,0,1,male,29.7,0,0
489,0,3,male,8.05,0,0
490,1,3,male,15.9,1,1
491,0,3,male,19.9667,1,0
492,0,3,male,7.25,0,0
493,0,1,male,30.5,0,0
494,0,1,male,49.5042,0,0
495,0,3,male,8.05,0,0
496,0,3,male,14.4583,0,0
497,1,1,female,78.2667,1,0
498,0,3,male,15.1,0,0
499,0,1,female,151.55,1,2
500,0,3,male,7.7958,0,0
501,0,3,male,8.6625,0,0
502,0,3,female,7.75,0,0
503,0,3,female,7.6292,0,0
504,0,3,female,9.5875,0,0
505,1,1,female,86.5,0,0
506,0,1,male,108.9,1,0
507,1,2,female,26,0,2
508,1,1,male,26.55,0,0
509,0,3,male,22.525,0,0
510,1,3,male,56.4958,0,0
511,1,3,male,7.75,0,0
512,0,3,male,8.05,0,0
513,1,1,male,26.2875,0,0
514,1,1,female,59.4,1,0
515,0,3,male,7.4958,0,0
516,0,1,male,34.0208,0,0
517,1,2,female,10.5,0,0
518,0,3,male,24.15,0,0
519,1,2,female,26,1,0
520,0,3,male,7.8958,0,0
521,1,1,female,93.5,0,0
522,0,3,male,7.8958,0,0
523,0,3,male,7.225,0,0
524,1,1,female,57.9792,0,1
525,0,3,male,7.2292,0,0
526,0,3,male,7.75,0,0
527,1,2,female,10.5,0,0
528,0,1,male,221.7792,0,0
529,0,3,male,7.925,0,0
530,0,2,male,11.5,2,1
531,1,2,female,26,1,1
532,0,3,male,7.2292,0,0
533,0,3,male,7.2292,1,1
534,1,3,female,22.3583,0,2
535,0,3,female,8.6625,0,0
536,1,2,female,26.25,0,2
537,0,1,male,26.55,0,0
538,1,1,female,106.425,0,0
539,0,3,male,14.5,0,0
540,1,1,female,49.5,0,2
541,1,1,female,71,0,2
542,0,3,female,31.275,4,2
543,0,3,female,31.275,4,2
544,1,2,male,26,1,0
545,0,1,male,106.425,1,0
546,0,1,male,26,0,0
547,1,2,female,26,1,0
548,1,2,male,13.8625,0,0
549,0,3,male,20.525,1,1
550,1,2,male,36.75,1,1
551,1,1,male,110.8833,0,2
552,0,2,male,26,0,0
553,0,3,male,7.8292,0,0
554,1,3,male,7.225,0,0
555,1,3,female,7.775,0,0
556,0,1,male,26.55,0,0
557,1,1,female,39.6,1,0
558,0,1,male,227.525,0,0
559,1,1,female,79.65,1,1
560,1,3,female,17.4,1,0
561,0,3,male,7.75,0,0
562,0,3,male,7.8958,0,0
563,0,2,male,13.5,0,0
564,0,3,male,8.05,0,0
565,0,3,female,8.05,0,0
566,0,3,male,24.15,2,0
567,0,3,male,7.8958,0,0
568,0,3,female,21.075,0,4
569,0,3,male,7.2292,0,0
570,1,3,male,7.8542,0,0
571,1,2,male,10.5,0,0
572,1,1,female,51.4792,2,0
573,1,1,male,26.3875,0,0
574,1,3,female,7.75,0,0
575,0,3,male,8.05,0,0
576,0,3,male,14.5,0,0
577,1,2,female,13,0,0
578,1,1,female,55.9,1,0
579,0,3,female,14.4583,1,0
580,1,3,male,7.925,0,0
581,1,2,female,30,1,1
582,1,1,female,110.8833,1,1
583,0,2,male,26,0,0
584,0,1,male,40.125,0,0
585,0,3,male,8.7125,0,0
586,1,1,female,79.65,0,2
587,0,2,male,15,0,0
588,1,1,male,79.2,1,1
589,0,3,male,8.05,0,0
590,0,3,male,8.05,0,0
591,0,3,male,7.125,0,0
592,1,1,female,78.2667,1,0
593,0,3,male,7.25,0,0
594,0,3,female,7.75,0,2
595,0,2,male,26,1,0
596,0,3,male,24.15,1,1
597,1,2,female,33,0,0
598,0,3,male,0,0,0
599,0,3,male,7.225,0,0
600,1,1,male,56.9292,1,0
601,1,2,female,27,2,1
602,0,3,male,7.8958,0,0
603,0,1,male,42.4,0,0
604,0,3,male,8.05,0,0
605,1,1,male,26.55,0,0
606,0,3,male,15.55,1,0
607,0,3,male,7.8958,0,0
608,1,1,male,30.5,0,0
609,1,2,female,41.5792,1,2
610,1,1,female,153.4625,0,0
611,0,3,female,31.275,1,5
612,0,3,male,7.05,0,0
613,1,3,female,15.5,1,0
614,0,3,male,7.75,0,0
615,0,3,male,8.05,0,0
616,1,2,female,65,1,2
617,0,3,male,14.4,1,1
618,0,3,female,16.1,1,0
619,1,2,female,39,2,1
620,0,2,male,10.5,0,0
621,0,3,male,14.4542,1,0
622,1,1,male,52.5542,1,0
623,1,3,male,15.7417,1,1
624,0,3,male,7.8542,0,0
625,0,3,male,16.1,0,0
626,0,1,male,32.3208,0,0
627,0,2,male,12.35,0,0
628,1,1,female,77.9583,0,0
629,0,3,male,7.8958,0,0
630,0,3,male,7.7333,0,0
631,1,1,male,30,0,0
632,0,3,male,7.0542,0,0
633,1,1,male,30.5,0,0
634,0,1,male,0,0,0
635,0,3,female,27.9,3,2
636,1,2,female,13,0,0
637,0,3,male,7.925,0,0
638,0,2,male,26.25,1,1
639,0,3,female,39.6875,0,5
640,0,3,male,16.1,1,0
641,0,3,male,7.8542,0,0
642,1,1,female,69.3,0,0
643,0,3,female,27.9,3,2
644,1,3,male,56.4958,0,0
645,1,3,female,19.2583,2,1
646,1,1,male,76.7292,1,0
647,0,3,male,7.8958,0,0
648,1,1,male,35.5,0,0
649,0,3,male,7.55,0,0
650,1,3,female,7.55,0,0
651,0,3,male,7.8958,0,0
652,1,2,female,23,0,1
653,0,3,male,8.4333,0,0
654,1,3,female,7.8292,0,0
655,0,3,female,6.75,0,0
656,0,2,male,73.5,2,0
657,0,3,male,7.8958,0,0
658,0,3,female,15.5,1,1
659,0,2,male,13,0,0
660,0,1,male,113.275,0,2
661,1,1,male,133.65,2,0
662,0,3,male,7.225,0,0
663,0,1,male,25.5875,0,0
664,0,3,male,7.4958,0,0
665,1,3,male,7.925,1,0
666,0,2,male,73.5,2,0
667,0,2,male,13,0,0
668,0,3,male,7.775,0,0
669,0,3,male,8.05,0,0
670,1,1,female,52,1,0
671,1,2,female,39,1,1
672,0,1,male,52,1,0
673,0,2,male,10.5,0,0
674,1,2,male,13,0,0
675,0,2,male,0,0,0
676,0,3,male,7.775,0,0
677,0,3,male,8.05,0,0
678,1,3,female,9.8417,0,0
679,0,3,female,46.9,1,6
680,1,1,male,512.3292,0,1
681,0,3,female,8.1375,0,0
682,1,1,male,76.7292,0,0
683,0,3,male,9.225,0,0
684,0,3,male,46.9,5,2
685,0,2,male,39,1,1
686,0,2,male,41.5792,1,2
687,0,3,male,39.6875,4,1
688,0,3,male,10.1708,0,0
689,0,3,male,7.7958,0,0
690,1,1,female,211.3375,0,1
691,1,1,male,57,1,0
692,1,3,female,13.4167,0,1
693,1,3,male,56.4958,0,0
694,0,3,male,7.225,0,0
695,0,1,male,26.55,0,0
696,0,2,male,13.5,0,0
697,0,3,male,8.05,0,0
698,1,3,female,7.7333,0,0
699,0,1,male,110.8833,1,1
700,0,3,male,7.65,0,0
701,1,1,female,227.525,1,0
702,1,1,male,26.2875,0,0
703,0,3,female,14.4542,0,1
704,0,3,male,7.7417,0,0
705,0,3,male,7.8542,1,0
706,0,2,male,26,0,0
707,1,2,female,13.5,0,0
708,1,1,male,26.2875,0,0
709,1,1,female,151.55,0,0
710,1,3,male,15.2458,1,1
711,1,1,female,49.5042,0,0
712,0,1,male,26.55,0,0
713,1,1,male,52,1,0
714,0,3,male,9.4833,0,0
715,0,2,male,13,0,0
716,0,3,male,7.65,0,0
717,1,1,female,227.525,0,0
718,1,2,female,10.5,0,0
719,0,3,male,15.5,0,0
720,0,3,male,7.775,0,0
721,1,2,female,33,0,1
722,0,3,male,7.0542,1,0
723,0,2,male,13,0,0
724,0,2,male,13,0,0
725,1,1,male,53.1,1,0
726,0,3,male,8.6625,0,0
727,1,2,female,21,3,0
728,1,3,female,7.7375,0,0
729,0,2,male,26,1,0
730,0,3,female,7.925,1,0
731,1,1,female,211.3375,0,0
732,0,3,male,18.7875,0,0
733,0,2,male,0,0,0
734,0,2,male,13,0,0
735,0,2,male,13,0,0
736,0,3,male,16.1,0,0
737,0,3,female,34.375,1,3
738,1,1,male,512.3292,0,0
739,0,3,male,7.8958,0,0
740,0,3,male,7.8958,0,0
741,1,1,male,30,0,0
742,0,1,male,78.85,1,0
743,1,1,female,262.375,2,2
744,0,3,male,16.1,1,0
745,1,3,male,7.925,0,0
746,0,1,male,71,1,1
747,0,3,male,20.25,1,1
748,1,2,female,13,0,0
749,0,1,male,53.1,1,0
750,0,3,male,7.75,0,0
751,1,2,female,23,1,1
752,1,3,male,12.475,0,1
753,0,3,male,9.5,0,0
754,0,3,male,7.8958,0,0
755,1,2,female,65,1,2
756,1,2,male,14.5,1,1
757,0,3,male,7.7958,0,0
758,0,2,male,11.5,0,0
759,0,3,male,8.05,0,0
760,1,1,female,86.5,0,0
761,0,3,male,14.5,0,0
762,0,3,male,7.125,0,0
763,1,3,male,7.2292,0,0
764,1,1,female,120,1,2
765,0,3,male,7.775,0,0
766,1,1,female,77.9583,1,0
767,0,1,male,39.6,0,0
768,0,3,female,7.75,0,0
769,0,3,male,24.15,1,0
770,0,3,male,8.3625,0,0
771,0,3,male,9.5,0,0
772,0,3,male,7.8542,0,0
773,0,2,female,10.5,0,0
774,0,3,male,7.225,0,0
775,1,2,female,23,1,3
776,0,3,male,7.75,0,0
777,0,3,male,7.75,0,0
778,1,3,female,12.475,0,0
779,0,3,male,7.7375,0,0
780,1,1,female,211.3375,0,1
781,1,3,female,7.2292,0,0
782,1,1,female,57,1,0
783,0,1,male,30,0,0
784,0,3,male,23.45,1,2
785,0,3,male,7.05,0,0
786,0,3,male,7.25,0,0
787,1,3,female,7.4958,0,0
788,0,3,male,29.125,4,1
789,1,3,male,20.575,1,2
790,0,1,male,79.2,0,0
791,0,3,male,7.75,0,0
792,0,2,male,26,0,0
793,0,3,female,69.55,8,2
794,0,1,male,30.6958,0,0
795,0,3,male,7.8958,0,0
796,0,2,male,13,0,0
797,1,1,female,25.9292,0,0
798,1,3,female,8.6833,0,0
799,0,3,male,7.2292,0,0
800,0,3,female,24.15,1,1
801,0,2,male,13,0,0
802,1,2,female,26.25,1,1
803,1,1,male,120,1,2
804,1,3,male,8.5167,0,1
805,1,3,male,6.975,0,0
806,0,3,male,7.775,0,0
807,0,1,male,0,0,0
808,0,3,female,7.775,0,0
809,0,2,male,13,0,0
810,1,1,female,53.1,1,0
811,0,3,male,7.8875,0,0
812,0,3,male,24.15,0,0
813,0,2,male,10.5,0,0
814,0,3,female,31.275,4,2
815,0,3,male,8.05,0,0
816,0,1,male,0,0,0
817,0,3,female,7.925,0,0
818,0,2,male,37.0042,1,1
819,0,3,male,6.45,0,0
820,0,3,male,27.9,3,2
821,1,1,female,93.5,1,1
822,1,3,male,8.6625,0,0
823,0,1,male,0,0,0
824,1,3,female,12.475,0,1
825,0,3,male,39.6875,4,1
826,0,3,male,6.95,0,0
827,0,3,male,56.4958,0,0
828,1,2,male,37.0042,0,2
829,1,3,male,7.75,0,0
830,1,1,female,80,0,0
831,1,3,female,14.4542,1,0
832,1,2,male,18.75,1,1
833,0,3,male,7.2292,0,0
834,0,3,male,7.8542,0,0
835,0,3,male,8.3,0,0
836,1,1,female,83.1583,1,1
837,0,3,male,8.6625,0,0
838,0,3,male,8.05,0,0
839,1,3,male,56.4958,0,0
840,1,1,male,29.7,0,0
841,0,3,male,7.925,0,0
842,0,2,male,10.5,0,0
843,1,1,female,31,0,0
844,0,3,male,6.4375,0,0
845,0,3,male,8.6625,0,0
846,0,3,male,7.55,0,0
847,0,3,male,69.55,8,2
848,0,3,male,7.8958,0,0
849,0,2,male,33,0,1
850,1,1,female,89.1042,1,0
851,0,3,male,31.275,4,2
852,0,3,male,7.775,0,0
853,0,3,female,15.2458,1,1
854,1,1,female,39.4,0,1
855,0,2,female,26,1,0
856,1,3,female,9.35,0,1
857,1,1,female,164.8667,1,1
858,1,1,male,26.55,0,0
859,1,3,female,19.2583,0,3
860,0,3,male,7.2292,0,0
861,0,3,male,14.1083,2,0
862,0,2,male,11.5,1,0
863,1,1,female,25.9292,0,0
864,0,3,female,69.55,8,2
865,0,2,male,13,0,0
866,1,2,female,13,0,0
867,1,2,female,13.8583,1,0
868,0,1,male,50.4958,0,0
869,0,3,male,9.5,0,0
870,1,3,male,11.1333,1,1
871,0,3,male,7.8958,0,0
872,1,1,female,52.5542,1,1
873,0,1,male,5,0,0
874,0,3,male,9,0,0
875,1,2,female,24,1,0
876,1,3,female,7.225,0,0
877,0,3,male,9.8458,0,0
878,0,3,male,7.8958,0,0
879,0,3,male,7.8958,0,0
880,1,1,female,83.1583,0,1
881,1,2,female,26,0,1
882,0,3,male,7.8958,0,0
883,0,3,female,10.5167,0,0
884,0,2,male,10.5,0,0
885,0,3,male,7.05,0,0
886,0,3,female,29.125,0,5
887,0,2,male,13,0,0
888,1,1,female,30,0,0
889,0,3,female,23.45,1,2
890,1,1,male,30,0,0
891,0,3,male,7.75,0,0
